epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20928,2.23798,5.05747,0.00417,0,0,0,0,2.03729,5.0945,0.00537,0,0,0
2,5.86756,1.8426,5.08945,0.0039,0,0,0,0,2.00505,5.0925,0.00516,3.3337e-06,3.3337e-06,3.3337e-06
3,8.51369,2.13463,5.05673,0.00429,0,0,0,0,1.96775,5.09051,0.00489,5.9348e-06,5.9348e-06,5.9348e-06
4,11.3417,1.99045,5.05363,0.00406,0,0,0,0,1.95691,5.08912,0.00481,7.8033e-06,7.8033e-06,7.8033e-06
5,14.2448,1.80015,5.03576,0.00445,0,0,0,0,1.93579,5.08497,0.00471,8.9392e-06,8.9392e-06,8.9392e-06
6,18.0942,2.06355,5.06279,0.0038,0,0,0,0,1.90672,5.08348,0.00436,9.3425e-06,9.3425e-06,9.3425e-06
7,22.4507,2.00548,5.04712,0.00426,0,0,0,0,1.87802,5.079,0.00428,9.0132e-06,9.0132e-06,9.0132e-06
8,25.3287,1.9542,5.02762,0.0038,0,0,0,0,1.84416,5.07278,0.00408,7.9513e-06,7.9513e-06,7.9513e-06
9,28.052,1.86561,5.02314,0.0037,0,0,0,0,1.80495,5.07295,0.00392,6.1568e-06,6.1568e-06,6.1568e-06
10,31.0645,1.92512,4.98823,0.00385,0,0,0,0,1.77927,5.07878,0.00383,3.6297e-06,3.6297e-06,3.6297e-06
